    Blocking waiting for file lock on build directory
   Compiling warp v0.1.0 (/Users/tedczj/workspace/term4u/app)
    Finished `test` profile [unoptimized] target(s) in 31.53s
        PASS [   0.041s] (  60/1549) warp code::editor::view::vim_handler::tests::test_vim_ctrl_d_scrolls_half_page_down
        PASS [   0.198s] (  61/1549) warp code::editor::model::tests::test_retrieve_unified_diff_windows_line_endings
        PASS [   0.022s] (  62/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_char_space
        PASS [   0.026s] (  63/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_char_motion_sideways
        PASS [   0.018s] (  64/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_lines_d0
        PASS [   0.021s] (  65/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_char_x
        PASS [   0.022s] (  66/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_lines_d_dollar
        PASS [   0.021s] (  67/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_word_db
        PASS [   0.026s] (  68/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_lines_d_caret
        PASS [   0.025s] (  69/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_word_de
        PASS [   0.022s] (  70/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_word_dge
        PASS [   0.022s] (  71/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_word_dw
        PASS [   0.022s] (  72/1549) warp code::editor::view::vim_handler::tests::test_vim_delete_word_empty
        PASS [   0.124s] (  73/1549) warp code::editor::model::tests::test_text_for_line
        PASS [   0.122s] (  74/1549) warp code::editor::model::tests::test_toggle_comment
        PASS [   0.024s] (  75/1549) warp code::editor::view::vim_handler::tests::test_vim_dgg_at_first_line_does_not_panic
        PASS [   0.025s] (  76/1549) warp code::editor::view::vim_handler::tests::test_vim_double_greater_indents_current_line
        PASS [   0.020s] (  77/1549) warp code::editor::view::vim_handler::tests::test_vim_double_less_at_column_zero_is_noop
        PASS [   0.027s] (  78/1549) warp code::editor::view::vim_handler::tests::test_vim_double_greater_preserves_non_leading_text
        PASS [   0.023s] (  79/1549) warp code::editor::view::vim_handler::tests::test_vim_double_less_dedents_current_line
        PASS [   0.028s] (  80/1549) warp code::editor::view::vim_handler::tests::test_vim_double_less_removes_only_one_indent_unit
        PASS [   0.025s] (  81/1549) warp code::editor::view::vim_handler::tests::test_vim_dw_newline_quirks
        PASS [   0.023s] (  82/1549) warp code::editor::view::vim_handler::tests::test_vim_greater_with_down_motion_indents_two_lines
        PASS [   0.026s] (  83/1549) warp code::editor::view::vim_handler::tests::test_vim_greater_to_last_line_indents_all_lines
